,detected_date,marketplace,search_keyword,img_src,href,product_title,price_value,seller_info
13,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/f1808826-153a-4e47-9f48-01d96a568b43.0c1472ca94fcb994df485603064a0017.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4KO12DJY8-the-prairie-in-her-eyes-the-breaking-and-making-of-a-dakota-rancher-pre-owned-hardcover-1571312552-9781571312556-ann-daum,"The Prairie in Her Eyes: The Breaking and Making of a Dakota Rancher, Pre-Owned ...","BHD 4
5",US Store
14,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/6ff79e91-f8df-47a9-b539-c12314cead22.bb3cd4af78a0ad28769b2306a0023596.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4KO12DJH2-green-ense-for-the-home-rating-the-real-payoff-from-50-green-home-projects-pre-owned-paperback-160085155x-9781600851551-eric-corey-freed-kevin,"Green$ense for the Home: Rating the Real Payoff from 50 Green Home Projects, ...",BHD 5,US Store
15,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/b9e4f7ba-825c-46a4-a985-38d141b3dbd8.5eb80c7dfe142a3717b120d9cd0c5668.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4Y2MX7K4O-walking-with-garbo-conversations-and-recollections-pre-owned-paperback-0060923555-9780060923556-raymond-daum,"Walking With Garbo: Conversations and Recollections, Pre-Owned Paperback ...",BHD 5,US Store
16,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/08f74be1-bf7e-47ab-bf8c-9d11547b7c4e.187d2fe2fb05ad9bbe6fec8cbeccf28e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4SKNII6FW-the-problem-with-everything-my-journey-through-the-new-culture-wars-pre-owned-hardcover-1982129336-9781982129330-meghan-daum,"The Problem with Everything: My Journey Through the New Culture Wars, Pre-Owned ...",BHD 5,US Store
17,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/d8a621fa-84bf-4e43-8831-650762ea72bc.b85628fd0af8748375bd8a9cdb9a9374.gif?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/79PXR8S0G-roar-get-heard-in-the-sales-and-marketing-jungle-pre-owned-paperback-0975974319-9780975974315-kevin-daum,"Roar! Get Heard in the Sales and Marketing Jungle, Pre-Owned Paperback 0975974319 ...",BHD 4,US Store
18,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/da0f5d64-8698-4007-9955-f4bd480dec0f.9c8ae3090efc7270df14078f954dc9a4.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4L1E88J7A-your-insiders-guide-to-retirement-the-practical-guide-to-transitioning-from-working-to-retirement-pre-owned-library-binding-1642792748,Your Insiders Guide to Retirement: The Practical Guide to Transitioning from ...,BHD 4,US Store
19,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/4b571be0-c9e3-4768-94c0-f67ee41ab838.a8bcbc89bd01658aae331db005067b74.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4KRN1C9FQ-the-unspeakable-and-other-subjects-of-discussion-pre-owned-hardcover-0374280444-9780374280444-meghan-daum,"The Unspeakable: And Other Subjects of Discussion, Pre-Owned Hardcover 0374280444 ...",BHD 5,US Store
20,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/0040f5d3-8918-4e3d-a4de-be954a23a0d8.e3d9251d13704ceaf7307bce9fd34fc2.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4MDM8EZC0-you-need-a-leader-now-what-how-to-choose-the-best-person-for-your-organization-pre-owned-hardcover-0307587797-9780307587794-james-m-citrin,"You Need a Leader-Now What?: How to Choose the Best Person for Your Organization, ...",BHD 5,US Store
21,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/0aaa3a59-36fa-45ae-9ccb-72d5f2473d41.92e7545eedbf0931d9710b38d5281ab6.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4KO12DK02-life-would-be-perfect-if-i-lived-in-that-house-pre-owned-paperback-0307454843-9780307454843-meghan-daum,"Life Would Be Perfect If I Lived in That House, Pre-Owned Paperback 0307454843 ...",BHD 5,US Store
22,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/c3b73be7-facf-4428-ba8a-fbe5200718f3.a631601f94f1dc355ca7fd19a4097ba1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4L1E88I8G-video-marketing-for-dummies-pre-owned-paperback-1118188764-9781118188767-kevin-daum-bettina-hein-matt-scott-andreas-goeldi,"Video Marketing For Dummies, Pre-Owned Paperback 1118188764 9781118188767 Kevin ...","BHD 4
5",US Store
